Run,Sensor_trigger_channel,Scint_ch,Sensor_Trigger_Min,Sensor_Trigger_Max,Sensor_chx_min,Sensor_chx_max,Scint_min,Scint_max,trigger_delay
19,12,15,240,260,110,270,285,310,-30
20,12,15,240,260,110,270,285,310,-30
21,12,15,240,260,110,270,285,310,-30
22,12,15,240,260,110,270,285,310,-30
23,12,15,240,260,114,125,285,310,110
24,12,15,240,260,110,270,285,310,-30
25,12,15,240,260,110,270,285,310,110
26,12,15,240,260,110,270,285,310,-30
27,12,15,240,260,110,270,285,310,-30
28,12,15,240,260,110,270,285,310,-30
29,12,15,240,260,110,270,285,310,-30
46,12,15,240,260,110,270,285,310,-30
47,12,15,240,260,110,270,285,310,-30
48,12,15,240,260,110,270,285,310,-30
49,12,15,240,260,110,270,285,310,-30
50,12,15,245,260,115,124,285,310,121
51,4,15,245,260,104,125,285,310,120
52,4,15,0,260,0,0,0,0,0
53,4,15,240,260,110,130,285,310,110
54,4,15,240,260,0,0,0,0,240
55,4,15,245,260,104,124,285,310,121
56,4,15,245,260,104,124,285,310,121
57,4,15,245,260,104,124,285,310,121
58,4,15,245,260,0,0,0,0,245
59,4,15,245,260,0,0,0,0,245
60,4,15,245,260,0,0,0,0,245
61,4,15,245,260,114,124,285,310,121
62,4,15,245,260,114,124,285,310,121
63,4,15,245,260,0,0,0,0,245
64,4,15,245,260,0,0,0,0,245
65,4,15,245,260,0,0,0,0,245
66,4,15,245,260,114,124,285,310,121
80,11,15,245,265,115,125,260,400,120
81,11,15,245,265,120,125,260,400,120
82,11,15,245,265,120,125,260,400,120
83,5,15,240,260,110,130,285,310,130
84,5,15,240,260,110,130,285,310,130
85,5,15,240,260,110,130,285,310,130
86,5,15,240,260,110,130,285,310,130
87,5,15,240,260,110,130,285,310,130
88,5,15,240,260,110,130,285,310,130
89,5,15,240,260,110,130,285,310,130
90,5,15,240,260,110,130,285,310,130
91,5,15,240,260,110,130,285,310,130
92,5,15,240,260,110,130,285,310,130
93,1,1,0,0,0,0,0,0,0
94,1,1,0,0,0,0,0,0,0
95,1,1,0,0,0,0,0,0,0
230,1,1,0,0,0,0,0,0,0
-1,1,1,0,0,0,0,0,0,0
